Date,SPI
1984.25,0.075692144
1984.333333,-0.144021056
1984.416667,0.93986809
1984.5,1.113852778
1984.583333,1.005105142
1984.666667,0.645429876
1984.75,0.639546339
1984.833333,0.6354243
1984.916667,0.876930431
1985,0.821806829
1985.083333,0.813131727
1985.166667,0.813490345
1985.25,0.81907999
1985.333333,0.755671247
1985.416667,0.257635678
1985.5,-0.315373732
1985.583333,-0.27008052
1985.666667,0.045410751
1985.75,0.025800755
1985.833333,0.030796368
1985.916667,0.113184073
1986,-0.36696536
1986.083333,-0.254075673
1986.166667,-0.198621644
1986.25,-0.181515101
1986.333333,-0.065629648
1986.416667,0.050039152
1986.5,0.524146058
1986.583333,0.375890323
1986.666667,0.650861813
1986.75,0.750097734
1986.833333,0.821755707
1986.916667,0.636744831
1987,1.435541916
1987.083333,1.620523044
1987.166667,1.609690319
1987.25,1.601109997
1987.333333,1.54672878
1987.416667,1.019436558
1987.5,1.295196574
1987.583333,1.442161912
1987.666667,1.327690297
1987.75,1.181569767
1987.833333,1.246568949
1987.916667,1.314221945
1988,0.420497045
1988.083333,0.040098606
1988.166667,0.01863439
1988.25,0.02480563
1988.333333,-0.106832087
1988.416667,0.321725397
1988.5,0.147198251
1988.583333,0.52281427
1988.666667,0.291120454
1988.75,0.246665373
1988.833333,0.193341903
1988.916667,0.036847675
1989,0.07444082
1989.083333,0.168249761
1989.166667,0.138399027
1989.25,0.135230585
1989.333333,0.198107776
1989.416667,-0.69903593
1989.5,-1.442099675
1989.583333,-1.441305047
1989.666667,-1.390467231
1989.75,-0.447334925
1989.833333,-0.045943957
1989.916667,0.129574897
1990,0.077645311
1990.083333,0.324318854
1990.166667,0.362944381
1990.25,0.356942396
1990.333333,0.38324222
1990.416667,0.636540928
1990.5,0.978632997
1990.583333,1.594986162
1990.666667,1.736605411
1990.75,1.250511954
1990.833333,0.949141835
1990.916667,0.73134825
1991,0.709671753
1991.083333,0.385884067
1991.166667,0.362547005
1991.25,0.36136078
1991.333333,0.269571376
1991.416667,0.453542167
1991.5,0.789873699
1991.583333,-0.41621101
